No.,Time,Source,Destination,Protocol,Length,Info
11981,120.954258,10.200.52.16,18.64.141.129,TCP,54,62984  >  443 [ACK] Seq=7701 Ack=8093018 Win=4162 Len=0
11982,120.955022,18.64.141.129,10.200.52.16,TCP,1494,443  >  62984 [ACK] Seq=8093018 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
11983,120.955036,10.200.52.16,18.64.141.129,TCP,54,62984  >  443 [ACK] Seq=7701 Ack=8094458 Win=4162 Len=0
11984,120.9551,18.64.141.129,10.200.52.16,TCP,1494,443  >  62984 [ACK] Seq=8094458 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
11985,120.955225,18.64.141.129,10.200.52.16,TCP,1494,443  >  62984 [ACK] Seq=8095898 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
11986,120.955235,10.200.52.16,18.64.141.129,TCP,54,62984  >  443 [ACK] Seq=7701 Ack=8097338 Win=4162 Len=0
11987,120.95535,18.64.141.129,10.200.52.16,TCP,1494,"443  >  62984 [PSH, ACK] Seq=8097338 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]"
11988,120.955672,18.64.141.129,10.200.52.16,TCP,1494,443  >  62984 [ACK] Seq=8098778 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
11989,120.955681,10.200.52.16,18.64.141.129,TCP,54,62984  >  443 [ACK] Seq=7701 Ack=8100218 Win=4162 Len=0
11990,120.955795,18.64.141.129,10.200.52.16,TCP,1494,[TCP Previous segment not captured] 443  >  62984 [ACK] Seq=8101658 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
11991,120.955804,10.200.52.16,18.64.141.129,TCP,66,[TCP Dup ACK 11989#1] 62984  >  443 [ACK] Seq=7701 Ack=8100218 Win=4162 Len=0 SLE=8101658 SRE=8103098
11992,120.955929,18.64.141.129,10.200.52.16,TCP,1494,"443  >  62984 [PSH, ACK] Seq=8103098 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]"
11993,120.955936,10.200.52.16,18.64.141.129,TCP,66,[TCP Dup ACK 11989#2] 62984  >  443 [ACK] Seq=7701 Ack=8100218 Win=4162 Len=0 SLE=8101658 SRE=8104538
11994,120.956057,18.64.141.129,10.200.52.16,TCP,1494,[TCP Fast Retransmission] 443  >  62984 [ACK] Seq=8100218 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
11995,120.956068,10.200.52.16,18.64.141.129,TCP,54,62984  >  443 [ACK] Seq=7701 Ack=8104538 Win=4162 Len=0
11996,120.956187,18.64.141.129,10.200.52.16,TCP,1494,443  >  62984 [ACK] Seq=8104538 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
11997,120.956388,18.64.141.129,10.200.52.16,TCP,1494,443  >  62984 [ACK] Seq=8105978 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
11998,120.956399,10.200.52.16,18.64.141.129,TCP,54,62984  >  443 [ACK] Seq=7701 Ack=8107418 Win=4162 Len=0
11999,120.956435,18.64.141.129,10.200.52.16,TCP,1494,443  >  62984 [ACK] Seq=8107418 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
12000,120.956556,18.64.141.129,10.200.52.16,TCP,1494,"443  >  62984 [PSH, ACK] Seq=8108858 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]"
12001,120.956566,10.200.52.16,18.64.141.129,TCP,54,62984  >  443 [ACK] Seq=7701 Ack=8110298 Win=4162 Len=0
12002,120.956691,18.64.141.129,10.200.52.16,TCP,1494,443  >  62984 [ACK] Seq=8110298 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
12003,120.956825,18.64.141.129,10.200.52.16,TCP,1494,"[TCP Previous segment not captured] 443  >  62984 [PSH, ACK] Seq=8114618 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]"
12004,120.956835,10.200.52.16,18.64.141.129,TCP,66,62984  >  443 [ACK] Seq=7701 Ack=8111738 Win=4162 Len=0 SLE=8114618 SRE=8116058
12005,120.956955,18.64.141.129,10.200.52.16,TCP,1494,[TCP Out-Of-Order] 443  >  62984 [ACK] Seq=8111738 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
