No.,Time,Source,Destination,Protocol,Length,URLs
9360,90.955889,18.64.141.129,10.200.52.16,TCP,1494,[]
15130,160.785861,10.200.52.16,18.64.141.129,TCP,66,[]
10656,110.465278,10.200.52.16,18.64.141.129,TCP,66,[]
3701,33.499201,10.200.52.16,20.207.199.231,TLSv1.2,498,[]
7375,69.458999,18.64.141.129,10.200.52.16,TCP,60,[]
6315,52.240103,104.18.2.161,10.200.52.16,UDP,1242,[]
12817,131.226572,18.64.141.129,10.200.52.16,TCP,1494,[]
3646,32.099806,10.200.52.16,142.250.181.46,UDP,1292,[]
193,0.552012,10.200.52.16,18.64.141.129,TCP,54,[]
13415,140.604929,10.200.52.16,18.64.141.129,TCP,54,[]
817,3.647324,142.251.31.101,10.200.52.16,UDP,857,[]
19654,214.674632,172.217.17.46,10.200.52.16,UDP,144,[]
15811,170.568873,18.64.141.129,10.200.52.16,TCP,620,[]
6161,51.558499,10.200.52.16,8.8.4.4,TCP,54,[]
15642,160.970129,18.64.141.129,10.200.52.16,TCP,1494,[]
4391,41.58896,18.64.141.129,10.200.52.16,TCP,1494,[]
11165,110.938468,10.200.52.16,18.64.141.129,TCP,54,[]
4928,46.510284,104.18.2.161,10.200.52.16,UDP,669,[]
5553,50.843939,18.64.141.129,10.200.52.16,TCP,1494,[]
10800,110.765255,10.200.52.16,18.64.141.129,TCP,54,[]
19043,210.860055,18.64.141.129,10.200.52.16,TCP,1494,[]
239,0.555946,18.64.141.129,10.200.52.16,TCP,1494,[]
12208,120.979911,18.64.141.129,10.200.52.16,TCP,1494,[]
19694,220.3694,18.64.141.129,10.200.52.16,TCP,60,[]
11170,110.939215,18.64.141.129,10.200.52.16,TCP,1494,[]
16952,181.166819,10.200.52.16,18.64.141.129,TCP,54,[]
4237,41.44117,18.64.141.129,10.200.52.16,TCP,1494,[]
5619,50.87836,18.64.141.129,10.200.52.16,TCP,1494,[]
17401,190.610915,10.200.52.16,18.64.141.129,TCP,74,[]
8641,81.18331,18.64.141.129,10.200.52.16,TCP,1494,[]
5098,48.46599,104.18.2.161,10.200.52.16,UDP,161,[]
14666,150.947776,18.64.141.129,10.200.52.16,TCP,1494,[]
2243,20.918581,18.64.141.129,10.200.52.16,TCP,1494,[]
17014,181.174415,18.64.141.129,10.200.52.16,TCP,1494,[]
3553,31.061392,18.64.141.129,10.200.52.16,TCP,1494,[]
19363,211.086512,18.64.141.129,10.200.52.16,TCP,1494,[]
8329,80.877972,18.64.141.129,10.200.52.16,TCP,1494,[]
5629,50.883616,18.64.141.129,10.200.52.16,TCP,1494,[]
10603,108.104907,10.200.52.16,8.8.4.4,TCP,54,[]
4508,41.680214,10.200.52.16,18.64.141.129,TCP,66,[]
18815,201.849191,10.200.52.16,18.64.141.129,TCP,54,[]
12175,120.973717,18.64.141.129,10.200.52.16,TCP,1494,[]
14454,150.917234,10.200.52.16,18.64.141.129,TCP,66,[]
16531,180.5591,10.200.52.16,18.64.141.129,TCP,54,[]
15094,160.781758,18.64.141.129,10.200.52.16,TCP,1494,[]
