Info
[TCP Dup ACK 955#1] 62984  >  443 [ACK] Seq=675 Ack=710168 Win=4162 Len=0 SLE=713048 SRE=714488
58506  >  443 Len=36
443  >  62984 [ACK] Seq=879657 Ack=675 Win=512 Len=1440 [TCP segment of a reassembled PDU]
[TCP Out-Of-Order] 443  >  62984 [ACK] Seq=1976705 Ack=1953 Win=517 Len=1440 [TCP segment of a reassembled PDU]
443  >  62984 [ACK] Seq=1516487 Ack=1314 Win=515 Len=1440 [TCP segment of a reassembled PDU]
443  >  62984 [ACK] Seq=1519367 Ack=1314 Win=515 Len=1440 [TCP segment of a reassembled PDU]
49926  >  443 Len=46
62984  >  443 [ACK] Seq=3868 Ack=4099542 Win=4162 Len=0
49926  >  443 Len=45
62984  >  443 [ACK] Seq=10893 Ack=11453511 Win=4162 Len=0
443  >  62984 [ACK] Seq=13197641 Ack=12810 Win=557 Len=1440 [TCP segment of a reassembled PDU]
[TCP Dup ACK 9394#1] 62984  >  443 [ACK] Seq=5784 Ack=6150973 Win=4162 Len=0 SLE=6152413 SRE=6153853
443  >  49926 Len=735
"[TCP Out-Of-Order] 443  >  62528 [PSH, ACK] Seq=22118 Ack=9127 Win=924 Len=256"
62984  >  443 [ACK] Seq=12810 Ack=13397801 Win=4162 Len=0
443  >  62984 [ACK] Seq=9401161 Ack=8979 Win=543 Len=1440 [TCP segment of a reassembled PDU]
[TCP Previous segment not captured] 443  >  62984 [ACK] Seq=11636309 Ack=11532 Win=552 Len=1440 [TCP segment of a reassembled PDU]
443  >  62984 [ACK] Seq=3252162 Ack=3230 Win=522 Len=1440 [TCP segment of a reassembled PDU]
"443  >  62984 [PSH, ACK] Seq=3416200 Ack=3230 Win=522 Len=1440 [TCP segment of a reassembled PDU]"
[TCP Out-Of-Order] 443  >  62984 [ACK] Seq=11106231 Ack=10893 Win=550 Len=1440 [TCP segment of a reassembled PDU]
62984  >  443 [ACK] Seq=12171 Ack=12524758 Win=4162 Len=0
62984  >  443 [ACK] Seq=1953 Ack=2556678 Win=4162 Len=0 SLE=2560998 SRE=2561623
62984  >  443 [ACK] Seq=6423 Ack=6490279 Win=4162 Len=0
49926  >  443 Len=45
[TCP Previous segment not captured] 443  >  62984 [ACK] Seq=14080891 Ack=13449 Win=559 Len=1440 [TCP segment of a reassembled PDU]
62984  >  443 [ACK] Seq=10893 Ack=11358471 Win=4162 Len=0 SLE=11362791 SRE=11364231
"443  >  62984 [PSH, ACK] Seq=13184681 Ack=12810 Win=557 Len=1440 [TCP segment of a reassembled PDU]"
62984  >  443 [ACK] Seq=12171 Ack=12513238 Win=4162 Len=0
[TCP Out-Of-Order] 443  >  62984 [ACK] Seq=6923070 Ack=6423 Win=534 Len=1440 [TCP segment of a reassembled PDU]
443  >  62984 [ACK] Seq=14155209 Ack=14088 Win=562 Len=1440 [TCP segment of a reassembled PDU]
443  >  62984 [ACK] Seq=7890550 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
